State (from\to) (Emission order)	1	2	3	4	5	6	7	8	9	10
1	0.9701770433449269	0.013015939237319278	9.644744399297063E-4	0.006696235632766527	9.816909997950618E-4	4.9383670369354874E-5	2.802884284484675E-4	0.0	0.007645663565560872	1.8928068088376894E-4
2	0.02557184587131651	0.9430458366057363	0.029725172667456817	0.001022875922097015	1.0394185495305173E-4	5.445199877094484E-5	6.405140293126443E-5	0.0	3.4756767972972266E-4	6.425599700846347E-5
3	0.00831201450041296	0.12833380215233267	0.7882104789768699	0.008068309421344136	0.015734331345991653	0.04643327222002507	0.0015673432486861382	0.0	0.0	0.003340448134337561
4	0.018119361411918205	0.0016482788379538007	0.002486672854122302	0.7005049449865371	0.06052923598829904	9.33556148126732E-4	0.01438112953882079	6.413503604910228E-4	0.19901607762339024	0.0017393922503404905
5	0.006193421570209968	4.755026149067053E-4	0.012620707217900545	0.15351372337729768	0.7937297877475689	0.011976767506593948	3.769207431523508E-4	0.0	0.01960628492607214	0.0015068842962978504
6	5.100662305536217E-4	2.509428109645674E-4	0.0554970121982409	0.0026231097616934472	0.01658348537352938	0.8623652609950067	0.06007918885764161	0.0	0.0020846457372738613	6.288035095929018E-6
7	0.0026962905393985047	3.418780102709523E-4	0.0017515363849355202	0.056893948226310075	0.0010040250050758076	0.06753722641082213	0.7453485352184798	0.04882223642684142	0.07206248143605379	0.003541842341811989
8	0.0	0.0	0.0	4.593671144457696E-4	0.0	0.0	0.009755130833255177	0.9423769638317505	0.04721448120362079	1.9405701692780118E-4
9	7.98149505711998E-4	2.1871464868974218E-5	0.0	0.007840707190162817	3.1366201657332917E-4	2.1678804833093483E-5	7.190104188003335E-4	0.0022674517058866865	0.9872181360854919	7.993328076708769E-4
10	1.404103538445472E-4	3.1951361032331465E-5	3.1577093468770966E-4	4.858827364235254E-4	1.7142144427820122E-4	8.014028096840729E-7	2.639926506724233E-4	8.513320880630136E-5	0.005954931337656191	0.9925497045697891
